epoch,mse,rel_l2
0.000000000000000000e+00,5.768066048622131348e-01,1.005218744277954102e+00
2.500000000000000000e+01,1.883981227874755859e-01,6.024798750877380371e-01
5.000000000000000000e+01,1.793709397315979004e-01,5.828320980072021484e-01
7.500000000000000000e+01,1.757426559925079346e-01,5.775451660156250000e-01
1.000000000000000000e+02,1.713201850652694702e-01,5.698637962341308594e-01
1.250000000000000000e+02,1.534511595964431763e-01,5.370806455612182617e-01
1.500000000000000000e+02,7.634504139423370361e-02,3.704478740692138672e-01
1.750000000000000000e+02,2.058004215359687805e-02,1.959684640169143677e-01
2.000000000000000000e+02,1.414554286748170853e-02,1.622024178504943848e-01
2.250000000000000000e+02,8.277565240859985352e-03,1.237298473715782166e-01
2.500000000000000000e+02,3.654277883470058441e-03,8.173076063394546509e-02
2.750000000000000000e+02,1.490323920734226704e-03,5.241660401225090027e-02
3.000000000000000000e+02,8.184704929590225220e-04,3.901814296841621399e-02
3.250000000000000000e+02,4.924692329950630665e-04,3.027837164700031281e-02
3.500000000000000000e+02,3.140083572361618280e-04,2.423408627510070801e-02
3.750000000000000000e+02,2.336086035938933492e-04,2.097337506711483002e-02
4.000000000000000000e+02,1.999490632442757487e-04,1.944200135767459869e-02
4.250000000000000000e+02,1.823648053687065840e-04,1.857990026473999023e-02
4.500000000000000000e+02,1.696530671324580908e-04,1.792426966130733490e-02
4.750000000000000000e+02,1.588921877555549145e-04,1.734805293381214142e-02
5.000000000000000000e+02,1.493772142566740513e-04,1.682170853018760681e-02
