epoch,residual_mse,rel_l2
0.000000000000000000e+00,4.694768750000000000e+04,1.283726572990417480e+00
2.500000000000000000e+01,2.928611914062500000e+04,1.183405995368957520e+00
5.000000000000000000e+01,1.788650781250000000e+04,1.113769531250000000e+00
7.500000000000000000e+01,1.433056542968750000e+04,1.090771436691284180e+00
1.000000000000000000e+02,1.409364257812500000e+04,1.088463544845581055e+00
1.250000000000000000e+02,1.388368847656250000e+04,1.086770415306091309e+00
1.500000000000000000e+02,1.366742480468750000e+04,1.084832549095153809e+00
1.750000000000000000e+02,1.343067285156250000e+04,1.082653880119323730e+00
2.000000000000000000e+02,1.317616503906250000e+04,1.080305695533752441e+00
2.250000000000000000e+02,1.290805078125000000e+04,1.077795505523681641e+00
2.500000000000000000e+02,1.263369335937500000e+04,1.075180053710937500e+00
2.750000000000000000e+02,1.236476855468750000e+04,1.072553753852844238e+00
3.000000000000000000e+02,1.211692578125000000e+04,1.070050358772277832e+00
3.250000000000000000e+02,1.190681445312500000e+04,1.067822694778442383e+00
3.500000000000000000e+02,1.174632714843750000e+04,1.065996527671813965e+00
