epoch,residual_mse,rel_l2
0.000000000000000000e+00,4.903955312500000000e+05,1.111840009689331055e+00
2.500000000000000000e+01,3.209790625000000000e+05,1.041953802108764648e+00
5.000000000000000000e+01,2.228325625000000000e+05,9.993208646774291992e-01
7.500000000000000000e+01,1.756316562500000000e+05,9.787334203720092773e-01
1.000000000000000000e+02,1.493145156250000000e+05,9.688002467155456543e-01
1.250000000000000000e+02,1.317142500000000000e+05,9.639329314231872559e-01
1.500000000000000000e+02,1.195058828125000000e+05,9.620921611785888672e-01
1.750000000000000000e+02,1.108642109375000000e+05,9.619930982589721680e-01
2.000000000000000000e+02,1.045117109375000000e+05,9.626370668411254883e-01
2.250000000000000000e+02,9.955591406250000000e+04,9.633930921554565430e-01
2.500000000000000000e+02,9.541066406250000000e+04,9.640501737594604492e-01
2.750000000000000000e+02,9.171942968750000000e+04,9.646581411361694336e-01
3.000000000000000000e+02,8.828353906250000000e+04,9.653587937355041504e-01
3.250000000000000000e+02,8.500429687500000000e+04,9.662897586822509766e-01
3.500000000000000000e+02,8.183982812500000000e+04,9.675387144088745117e-01
